Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,765903278,9826.150648070561,438312,5.623320681044406,0,6927378,88.87474669370687,3178,0.040772128356876214,0,
United States of America,Americas,103343569,31221.372,77165,23.313,0,1125209,339.94,1146,0.346,0
China,Western Pacific,99252425,6745.96,3122,0.212,0,121015,8.225,50,0.003,0
India,South-East Asia,44972800,3258.888,16084,1.166,0,531707,38.529,123,0.009,0
France,Europe,38961098,59903.878,29544,45.425,0,163120,250.802,166,0.255,0
Germany,Europe,38413078,46188.045,5904,7.099,0,173473,208.585,109,0.131,0
Brazil,Americas,37487971,17636.467,38553,18.138,0,701833,330.182,339,0.159,0
Japan,Western Pacific,33793429,26719.145,50446,39.886,0,74654,59.026,85,0.067,0
Republic of Korea,Western Pacific,31285910,61022.835,73312,142.994,0,34534,67.358,29,0.057,0
Italy,Europe,25809208,43273.917,8737,14.649,0,189904,318.409,79,0.132,0
The United Kingdom,Europe,24592953,36226.838,2500,3.683,0,225081,331.557,0,0,0
Russian Federation,Europe,22884493,15681.35,22424,15.366,0,398578,273.121,179,0.123,0
Türkiye,Europe,17004677,20162.278,0,0,0,101419,120.252,0,0,0
Spain,Europe,13845825,29252.188,11847,25.029,0,120964,255.562,65,0.137,0
Viet Nam,Western Pacific,11575883,11892.39,11590,11.907,0,43196,44.377,1,0.001,0
Australia,Western Pacific,11270821,44199.499,0,0,0,20393,79.973,0,0,0
Argentina,Americas,10044957,22225.434,0,0,0,130472,288.682,0,0,0
Netherlands,Europe,8610372,49463.335,0,0,0,22992,132.08,0,0,0
Iran (Islamic Republic of),Eastern Mediterranean,7609922,9060.191,988,1.176,0,146165,174.021,47,0.056,0
Mexico,Americas,7595574,5891.113,6471,5.019,0,333960,259.019,30,0.023,0
Indonesia,South-East Asia,6791121,2482.828,11490,4.201,0,161501,59.045,149,0.054,0
Poland,Europe,6514997,17163.637,805,2.121,0,119568,315,11,0.029,0
Colombia,Americas,6365262,12509.631,626,1.23,0,142722,280.491,9,0.018,0
Austria,Europe,6069252,68185.691,3310,37.187,0,22414,251.813,3,0.034,0
Greece,Europe,6025776,56218.122,0,0,0,36811,343.432,0,0,0
Portugal,Europe,5582987,54225.295,791,7.683,0,26616,258.51,22,0.214,0
Ukraine,Europe,5538357,12663.803,0,0,0,112210,256.575,0,0,0
Chile,Americas,5285307,27648.313,1399,7.318,0,61437,321.387,53,0.277,0
Malaysia,Western Pacific,5079436,15693.741,7596,23.469,0,37028,114.404,8,0.025,0
Israel,Europe,4823329,55725.332,739,8.538,0,12500,144.416,0,0,0
Belgium,Europe,4795081,41615.153,176,1.527,0,34268,297.402,5,0.043,0
Thailand,South-East Asia,4734000,6782.237,1699,2.434,0,33967,48.663,10,0.014,0
Canada,Americas,4665486,12361.473,4992,13.227,0,52231,138.389,113,0.299,0
Czechia,Europe,4640905,43397.526,358,3.348,0,42782,400.058,6,0.056,0
Peru,Americas,4503222,13657.776,2092,6.345,0,220196,667.83,74,0.224,0
Switzerland,Europe,4403468,50879.981,0,0,0,14000,161.763,0,0,0
Philippines,Western Pacific,4102788,3744.066,7320,6.68,0,66453,60.643,9,0.008,0
South Africa,Africa,4072533,6866.672,0,0,0,102595,172.985,0,0,0
Denmark,Europe,3412445,58605.253,450,7.728,0,8599,147.679,38,0.653,0
Romania,Europe,3397365,17576.664,3463,17.916,0,68117,352.411,28,0.145,0
Sweden,Europe,2707174,26213.03,0,0,0,24124,233.588,0,0,0
Serbia,Europe,2537296,36630.635,2076,29.971,0,18029,260.282,7,0.101,0
Iraq,Eastern Mediterranean,2465545,6129.767,0,0,0,25375,63.087,0,0,0
Singapore,Western Pacific,2391248,40873.645,0,0,0,1722,29.434,0,0,0
New Zealand,Western Pacific,2272229,47119.851,11103,230.246,0,2792,57.898,30,0.622,0
Hungary,Europe,2201824,22537.675,0,0,0,48765,499.154,0,0,0
Bangladesh,South-East Asia,2038384,1237.714,116,0.07,0,29446,17.88,0,0,0
Slovakia,Europe,1866647,34200.997,177,3.243,0,21167,387.825,0,0,0
Georgia,Europe,1840187,46129.513,0,0,0,17059,427.632,0,0,0
Jordan,Eastern Mediterranean,1746997,17122.161,0,0,0,14122,138.408,0,0,0
Ireland,Europe,1710625,34457.562,4,0.081,0,8866,178.59,17,0.342,0
Pakistan,Eastern Mediterranean,1580631,715.566,0,0,0,30656,13.878,0,0,0
Kazakhstan,Europe,1502857,8003.837,116,0.618,0,19072,101.573,0,0,0
Norway,Europe,1483639,27640.743,280,5.217,0,5435,101.256,0,0,0
Finland,Europe,1475378,26702.263,267,4.832,0,9373,169.638,1,0.018,0
Slovenia,Europe,1343721,64113.078,185,8.827,0,9317,444.543,3,0.143,0
Lithuania,Europe,1319117,47210.97,433,15.497,0,9672,346.159,4,0.143,0
Bulgaria,Europe,1305298,18777.262,605,8.703,0,38341,551.551,5,0.072,0
Morocco,Eastern Mediterranean,1273832,3451.132,369,1,0,16297,44.153,0,0,0
Croatia,Europe,1273256,31375.166,370,9.117,0,18213,448.799,33,0.813,0
Guatemala,Americas,1248823,6970.602,652,3.639,0,20196,112.729,7,0.039,0
Lebanon,Eastern Mediterranean,1237127,18125.221,324,4.747,0,10906,159.784,5,0.073,0
Costa Rica,Americas,1229587,24137.387,928,18.217,0,9362,183.781,11,0.216,0
Bolivia (Plurinational State of),Americas,1197650,10259.983,411,3.521,0,22380,191.724,3,0.026,0
Tunisia,Eastern Mediterranean,1152877,9754.752,0,0,0,29398,248.743,0,0,0
Puerto Rico,Americas,1119959,39147.73,3136,109.618,0,5902,206.302,11,0.385,0
Cuba,Americas,1113400,9829.944,312,2.755,0,8530,75.309,0,0,0
United Arab Emirates,Eastern Mediterranean,1064237,10760.301,1026,10.374,0,2349,23.75,0,0,0
Ecuador,Americas,1061100,6014.265,0,0,0,36019,204.154,0,0,0
Uruguay,Americas,1037893,29878.344,0,0,0,7625,219.505,0,0,0
Panama,Americas,1037324,24041.252,591,13.697,0,8620,199.779,-1,-0.023,0
Mongolia,Western Pacific,1008038,30748.897,0,0,0,2136,65.156,0,0,0
Nepal,South-East Asia,1003157,3442.92,126,0.432,0,12031,41.291,1,0.003,0
Belarus,Europe,994037,10519.666,0,0,0,7118,75.328,0,0,0
Latvia,Europe,977774,51254.747,77,4.036,0,6352,332.971,3,0.157,0
Saudi Arabia,Eastern Mediterranean,841469,2417.051,449,1.29,0,9646,27.707,2,0.006,0
Azerbaijan,Europe,831563,8201.486,149,1.47,0,10257,101.162,12,0.118,0
Paraguay,Americas,735759,10315.529,0,0,0,19880,278.723,0,0,0
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,703228,13784.962,0,0,0,5708,111.891,0,0,0
Bahrain,Eastern Mediterranean,696614,40939.365,0,0,0,1536,90.269,0,0,0
Sri Lanka,South-East Asia,672227,3139.304,44,0.205,0,16849,78.685,5,0.023,0
Kuwait,Eastern Mediterranean,665851,15591.615,49,1.147,0,2570,60.179,0,0,0
Dominican Republic,Americas,661103,6094.289,58,0.535,0,4384,40.413,0,0,0
Cyprus,Europe,660854,74420.076,2404,270.719,0,1364,153.603,10,1.126,0
Myanmar,South-East Asia,636388,1169.62,1131,2.079,0,19492,35.824,0,0,0
Republic of Moldova,Europe,620418,15379.863,165,4.09,0,12113,300.275,1,0.025,0
